id;name;longitude;latitude;type;subtype
1;CASEROS;-58,39892759;-34,63575018;Estacion Subte;H
2;INCLAN - MEZQUITA AL AHMAD;-58,40096956;-34,62937566;Estacion Subte;H
3;HUMBERTO 1Â°;-58,40232273;-34,62309232;Estacion Subte;H
4;VENEZUELA;-58,40473172;-34,61524215;Estacion Subte;H
5;ONCE - 30 DE DICIEMBRE;-58,40603638;-34,60893524;Estacion Subte;H
6;9 DE JULIO;-58,38057434;-34,6042452;Estacion Subte;D
7;FACULTAD DE MEDICINA;-58,39792376;-34,59975708;Estacion Subte;D
8;TRIBUNALES - TEATRO COLÃ“N;-58,38514236;-34,60158717;Estacion Subte;D
9;AGÃœERO;-58,40716132;-34,59162784;Estacion Subte;D
10;R.SCALABRINI ORTIZ;-58,41595542;-34,58515594;Estacion Subte;D
11;PLAZA ITALIA;-58,42119601;-34,58141119;Estacion Subte;D
12;PALERMO;-58,42571144;-34,57842202;Estacion Subte;D
13;RETIRO;-58,37401822;-34,59119381;Estacion Subte;C
14;LAVALLE;-58,37815578;-34,60176992;Estacion Subte;C
15;DIAGONAL NORTE;-58,37952998;-34,60484374;Estacion Subte;C
16;AV. DE MAYO;-58,38061072;-34,60898331;Estacion Subte;C
17;MORENO;-58,38044447;-34,61261728;Estacion Subte;C
18;INDEPENDENCIA;-58,38017361;-34,6181256;Estacion Subte;C
19;CONSTITUCION;-58,38143443;-34,62761945;Estacion Subte;C
20;FLORIDA;-58,37507152;-34,60329729;Estacion Subte;B
21;C. PELLEGRINI;-58,38071485;-34,60363711;Estacion Subte;B
22;URUGUAY;-58,38729613;-34,60409355;Estacion Subte;B
23;CALLAO - MAESTRO ALFREDO BRAVO;-58,39231424;-34,60441954;Estacion Subte;B
24;PASTEUR - AMIA;-58,39947426;-34,60464297;Estacion Subte;B
25;PUEYRREDON;-58,40539944;-34,60458106;Estacion Subte;B
26;CARLOS GARDEL;-58,4117626;-34,60407952;Estacion Subte;B
27;ALMAGRO - MEDRANO;-58,42096247;-34,6031649;Estacion Subte;B
28;ANGEL GALLARDO;-58,43127386;-34,60216223;Estacion Subte;B
29;MALABIA - OSVALDO PUGLIESE;-58,4397715;-34,59896736;Estacion Subte;B
30;DORREGO;-58,44757309;-34,59171815;Estacion Subte;B
31;PERU;-58,37426773;-34,60855907;Estacion Subte;A
32;PIEDRAS;-58,37908515;-34,60888172;Estacion Subte;A
33;LIMA;-58,3822324;-34,60909981;Estacion Subte;A
34;SAENZ PEÃ‘A;-58,38677719;-34,60941259;Estacion Subte;A
35;CONGRESO - PDTE. DR. RAÃšL R. ALFONSÃN;-58,39266882;-34,60922568;Estacion Subte;A
36;PASCO;-58,39842699;-34,60964596;Estacion Subte;A
37;ALBERTI;-58,40120753;-34,60983358;Estacion Subte;A
38;PLAZA DE MISERERE;-58,40670712;-34,60981725;Estacion Subte;A
39;LORIA;-58,41518571;-34,61078169;Estacion Subte;A
40;CASTRO BARROS;-58,42181567;-34,61177023;Estacion Subte;A
41;RIO DE JANEIRO;-58,42950032;-34,61520561;Estacion Subte;A
42;ACOYTE;-58,43642853;-34,61827997;Estacion Subte;A
43;PRIMERA JUNTA;-58,44117763;-34,62040521;Estacion Subte;A
44;BOLIVAR;-58,37368422;-34,60924243;Estacion Subte;E
45;BELGRANO;-58,37758089;-34,61284911;Estacion Subte;E
46;INDEPENDENCIA;-58,38153494;-34,61793739;Estacion Subte;E
47;SAN JOSE;-58,38514855;-34,62233949;Estacion Subte;E
48;ENTRE RIOS - RODOLFO WALSH;-58,3915117;-34,62271967;Estacion Subte;E
49;PICHINCHA;-58,39706807;-34,62310987;Estacion Subte;E
50;JUJUY;-58,40293658;-34,62386571;Estacion Subte;E
51;URQUIZA;-58,40939078;-34,62465379;Estacion Subte;E
52;JOSE MARIA MORENO;-58,43381625;-34,62801755;Estacion Subte;E
53;EMILIO MITRE;-58,44217071;-34,63104184;Estacion Subte;E
54;BULNES;-58,4112939;-34,58823711;Estacion Subte;D
55;PUEYRREDON;-58,40239534;-34,59442572;Estacion Subte;D
56;CALLAO;-58,39312518;-34,59963955;Estacion Subte;D
57;SAN MARTIN;-58,37781905;-34,5950574;Estacion Subte;C
58;SAN JUAN;-58,37992118;-34,62191673;Estacion Subte;C
59;MEDALLA MILAGROSA;-58,45027826;-34,63638919;Estacion Subte;E
60;AV. LA PLATA;-58,42678902;-34,62701547;Estacion Subte;E
61;BOEDO;-58,41553282;-34,62536611;Estacion Subte;E
62;MINISTRO CARRANZA - MIGUEL ABUELO;-58,43501353;-34,57517836;Estacion Subte;D
63;OLLEROS;-58,44466815;-34,57001231;Estacion Subte;D
64;JOSE HERNANDEZ;-58,4521256;-34,56621524;Estacion Subte;D
65;JURAMENTO;-58,45648913;-34,56230909;Estacion Subte;D
66;FEDERICO LACROZE;-58,45502929;-34,58719785;Estacion Subte;B
67;PLAZA DE LOS VIRREYES - EVA PERON;-58,46165176;-34,64331216;Estacion Subte;E
68;VARELA;-58,45789176;-34,64013735;Estacion Subte;E
69;CATEDRAL;-58,37395581;-34,60780234;Estacion Subte;D
70;PLAZA DE MAYO;-58,3709685;-34,60881031;Estacion Subte;A
71;CONGRESO DE TUCUMAN;-58,46237841;-34,55564177;Estacion Subte;D
72;LEANDRO N. ALEM;-58,36992985;-34,6029895;Estacion Subte;B
73;TRONADOR - VILLA ORTÃšZAR;-58,4662272;-34,58409462;Estacion Subte;B
74;DE LOS INCAS -PQUE. CHAS;-58,47424083;-34,58124885;Estacion Subte;B
75;CARABOBO;-58,4567098;-34,62666659;Estacion Subte;A
76;PUAN;-58,44864765;-34,62352895;Estacion Subte;A
77;CORRIENTES;-58,40545033;-34,6044902;Estacion Subte;H
78;PARQUE PATRICIOS;-58,40579483;-34,63840599;Estacion Subte;H
79;HOSPITALES;-58,41238515;-34,64126894;Estacion Subte;H
80;ECHEVERRÃA;-58,4810135;-34,57779738;Estacion Subte;B
81;JUAN MANUEL DE ROSAS - VILLA URQUIZA;-58,48638535;-34,57431891;Estacion Subte;B
82;SAN PEDRITO;-58,46963963;-34,63070709;Estacion Subte;A
83;SAN JOSÃ‰ DE FLORES;-58,46354051;-34,62908723;Estacion Subte;A
84;CÃ“RDOBA;-58,4037215;-34,59845511;Estacion Subte;H
85;LAS HERAS;-58,39721558;-34,58746155;Estacion Subte;H
86;SANTA FE - CARLOS JAUREGUI;-58,40237618;-34,5945254;Estacion Subte;H
87;FACULTAD DE DERECHO - JULIETA LANTERI;-58,39101883;-34,58303634;Estacion Subte;H
88;RETIRO;-58,37584984;-34,59211436;Estacion Subte;E
89;CATALINAS;-58,37170033;-34,59659682;Estacion Subte;E
90;CORREO CENTRAL;-58,3704125;-34,60301391;Estacion Subte;E
91;3 de Febrero;-58,4249824;-34,5717485;Estacion Ferrocarril;Mitre
92;Belgrano R;-58,4618081;-34,5680506;Estacion Ferrocarril;Mitre
93;Coghlan;-58,4753485;-34,5652607;Estacion Ferrocarril;Mitre
94;Colegiales;-58,448253;-34,5729746;Estacion Ferrocarril;Mitre
95;Dr. Cetrángolo;-58,49413;-34,5230887;Estacion Ferrocarril;Mitre
96;Florida;-58,4944563;-34,5304745;Estacion Ferrocarril;Mitre
97;Juan B. Justo;-58,494657;-34,5425501;Estacion Ferrocarril;Mitre
98;Ministro Carranza;-58,435404;-34,575705;Estacion Ferrocarril;Mitre
99;Mitre;-58,4896092;-34,5154718;Estacion Ferrocarril;Mitre
100;Saavedra;-58,4870632;-34,5540735;Estacion Ferrocarril;Mitre
101;Abbot;-58,8029392;-35,2814201;Estacion Ferrocarril;Roca
102;La Noria;-58,7881853;-35,1651382;Estacion Ferrocarril;Roca
103;Monte;-58,8176656;-35,4366533;Estacion Ferrocarril;Roca
104;Acassuso;-58,5038385;-34,4800686;Estacion Ferrocarril;Mitre
105;Béccar;-58,5265437;-34,4608043;Estacion Ferrocarril;Mitre
106;Belgrano C;-58,4489445;-34,5588016;Estacion Ferrocarril;Mitre
107;Carupá;-58,5674401;-34,4375361;Estacion Ferrocarril;Mitre
108;La Lucila;-58,4884466;-34,4975978;Estacion Ferrocarril;Mitre
109;Martínez;-58,4965804;-34,4885346;Estacion Ferrocarril;Mitre
110;Núñez;-58,4628516;-34,5482911;Estacion Ferrocarril;Mitre
111;Olivos;-58,4806636;-34,5077139;Estacion Ferrocarril;Mitre
112;Retiro LM;-58,376129;-34,5899757;Estacion Ferrocarril;Mitre
113;Rivadavia;-58,4680326;-34,5365204;Estacion Ferrocarril;Mitre
114;San Fernando C;-58,5587407;-34,4443381;Estacion Ferrocarril;Mitre
115;San Isidro C;-58,5133831;-34,4722074;Estacion Ferrocarril;Mitre
116;Tigre;-58,5817289;-34,423567;Estacion Ferrocarril;Mitre
117;Vicente López;-58,4728065;-34,5247233;Estacion Ferrocarril;Mitre
118;Victoria;-58,5411284;-34,4561533;Estacion Ferrocarril;Mitre
119;Virreyes;-58,5507001;-34,4506827;Estacion Ferrocarril;Mitre
