fid,CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
1,DEFENSA,"1524",1524 DEFENSA,"-58,3709946","-34,62565880","1",SAN TELMO,"22",V,"53",I,,,,,,,,
2,DEFENSA,"1528",1528 DEFENSA,"-58,3709994","-34,62571060","1",SAN TELMO,"29",I,,,,,,,,,,
3,BARTOLOME MITRE,"906","906 MITRE, BARTOLOME","-58,3796587","-34,60721560","1",SAN NICOLAS,"105",V,,,,,,,,,,
4,REGIMIENTO DE PATRICIOS AV.,"51",51 REGIMIENTO DE PATRICIOS AV.,"-58,3706639","-34,63022580","4",BARRACAS,"93",I,"70",V,"74",I,,,,,,
5,REGIMIENTO DE PATRICIOS AV.,"389",389 REGIMIENTO DE PATRICIOS AV.,"-58,3703604","-34,63340970","4",BARRACAS,"10",I,"22",I,,,,,,,,
6,REGIMIENTO DE PATRICIOS AV.,"435",435 REGIMIENTO DE PATRICIOS AV.,"-58,3702771","-34,63401180","4",BARRACAS,"24",i,"46",V,,,,,,,,
7,REGIMIENTO DE PATRICIOS AV.,"471",471 REGIMIENTO DE PATRICIOS AV.,"-58,3702328","-34,63429930","4",BARRACAS,"39",V,"93",I,,,,,,,,
8,BARTOLOME MITRE,"1464","1464 MITRE, BARTOLOME","-58,38715257","-34,60775698","1",SAN NICOLAS,"105",V,"98",I,,,,,,,,
9,REGIMIENTO DE PATRICIOS AV.,"673",673 REGIMIENTO DE PATRICIOS AV.,"-58,3699335","-34,63619960","4",BARRACAS,"70",V,"74",I,,,,,,,,
10,BARTOLOME MITRE,"1444","1444 MITRE, BARTOLOME","-58,38690677","-34,60774163","1",SAN NICOLAS,"8",V,"7",V,,,,,,,,
11,REGIMIENTO DE PATRICIOS AV.,"717",717 REGIMIENTO DE PATRICIOS AV.,"-58,3698545","-34,63672290","4",BARRACAS,"39",V,"93",I,,,,,,,,
12,REGIMIENTO DE PATRICIOS AV.,"761",761 REGIMIENTO DE PATRICIOS AV.,"-58,3698136","-34,63698730","4",BARRACAS,"10",I,"24",I,,,,,,,,
13,REGIMIENTO DE PATRICIOS AV.,"787",787 REGIMIENTO DE PATRICIOS AV.,"-58,3697851","-34,63717100","4",BARRACAS,"22",I,"46",V,,,,,,,,
14,BARTOLOME MITRE,"1608","1608 MITRE, BARTOLOME","-58,3894206","-34,60790029","1",SAN NICOLAS,"8",V,"7",V,,,,,,,,
15,BARTOLOME MITRE,"1682","1682 MITRE, BARTOLOME","-58,39033209","-34,60794204","1",SAN NICOLAS,"98",I,"105",V,,,,,,,,
16,RIVADAVIA AV.,"1581",1581 RIVADAVIA AV.,"-58,3887206","-34,60899460","1",SAN NICOLAS,"60",I,,,,,,,,,,
