long;lat;id;estacion;linea
-58,39892759;-34,63575018;1;CASEROS;H
-58,40096956;-34,62937566;2;INCLAN - MEZQUITA AL AHMAD;H
-58,40232273;-34,62309232;3;HUMBERTO 1Â°;H
-58,40473172;-34,61524215;4;VENEZUELA;H
-58,40603638;-34,60893524;5;ONCE - 30 DE DICIEMBRE;H
-58,38057434;-34,6042452;6;9 DE JULIO;D
-58,39792376;-34,59975708;7;FACULTAD DE MEDICINA;D
-58,38514236;-34,60158717;8;TRIBUNALES - TEATRO COLÃ“N;D
-58,40716132;-34,59162784;9;AGÃœERO;D
-58,41595542;-34,58515594;10;R.SCALABRINI ORTIZ;D
-58,42119601;-34,58141119;11;PLAZA ITALIA;D
-58,42571144;-34,57842202;12;PALERMO;D
-58,37401822;-34,59119381;13;RETIRO;C
-58,37815578;-34,60176992;14;LAVALLE;C
-58,37952998;-34,60484374;15;DIAGONAL NORTE;C
-58,38061072;-34,60898331;16;AV. DE MAYO;C
-58,38044447;-34,61261728;17;MORENO;C
-58,38017361;-34,6181256;18;INDEPENDENCIA;C
-58,38143443;-34,62761945;19;CONSTITUCION;C
-58,37507152;-34,60329729;20;FLORIDA;B
-58,38071485;-34,60363711;21;C. PELLEGRINI;B
-58,38729613;-34,60409355;22;URUGUAY;B
-58,39231424;-34,60441954;23;CALLAO - MAESTRO ALFREDO BRAVO;B
-58,39947426;-34,60464297;24;PASTEUR - AMIA;B
-58,40539944;-34,60458106;25;PUEYRREDON;B
-58,4117626;-34,60407952;26;CARLOS GARDEL;B
-58,42096247;-34,6031649;27;ALMAGRO - MEDRANO;B
-58,43127386;-34,60216223;28;ANGEL GALLARDO;B
-58,4397715;-34,59896736;29;MALABIA - OSVALDO PUGLIESE;B
-58,44757309;-34,59171815;30;DORREGO;B
-58,37426773;-34,60855907;31;PERU;A
-58,37908515;-34,60888172;32;PIEDRAS;A
-58,3822324;-34,60909981;33;LIMA;A
-58,38677719;-34,60941259;34;SAENZ PEÃ‘A;A
-58,39266882;-34,60922568;35;CONGRESO - PDTE. DR. RAÃšL R. ALFONSÃN;A
-58,39842699;-34,60964596;36;PASCO;A
-58,40120753;-34,60983358;37;ALBERTI;A
-58,40670712;-34,60981725;38;PLAZA DE MISERERE;A
-58,41518571;-34,61078169;39;LORIA;A
-58,42181567;-34,61177023;40;CASTRO BARROS;A
-58,42950032;-34,61520561;41;RIO DE JANEIRO;A
-58,43642853;-34,61827997;42;ACOYTE;A
-58,44117763;-34,62040521;43;PRIMERA JUNTA;A
-58,37368422;-34,60924243;44;BOLIVAR;E
-58,37758089;-34,61284911;45;BELGRANO;E
-58,38153494;-34,61793739;46;INDEPENDENCIA;E
-58,38514855;-34,62233949;47;SAN JOSE;E
-58,3915117;-34,62271967;48;ENTRE RIOS - RODOLFO WALSH;E
-58,39706807;-34,62310987;49;PICHINCHA;E
-58,40293658;-34,62386571;50;JUJUY;E
-58,40939078;-34,62465379;51;URQUIZA;E
-58,43381625;-34,62801755;52;JOSE MARIA MORENO;E
-58,44217071;-34,63104184;53;EMILIO MITRE;E
-58,4112939;-34,58823711;54;BULNES;D
-58,40239534;-34,59442572;55;PUEYRREDON;D
-58,39312518;-34,59963955;56;CALLAO;D
-58,37781905;-34,5950574;57;SAN MARTIN;C
-58,37992118;-34,62191673;58;SAN JUAN;C
-58,45027826;-34,63638919;59;MEDALLA MILAGROSA;E
-58,42678902;-34,62701547;60;AV. LA PLATA;E
-58,41553282;-34,62536611;61;BOEDO;E
-58,43501353;-34,57517836;62;MINISTRO CARRANZA - MIGUEL ABUELO;D
-58,44466815;-34,57001231;63;OLLEROS;D
-58,4521256;-34,56621524;64;JOSE HERNANDEZ;D
-58,45648913;-34,56230909;65;JURAMENTO;D
-58,45502929;-34,58719785;66;FEDERICO LACROZE;B
-58,46165176;-34,64331216;67;PLAZA DE LOS VIRREYES - EVA PERON;E
-58,45789176;-34,64013735;68;VARELA;E
-58,37395581;-34,60780234;69;CATEDRAL;D
-58,3709685;-34,60881031;70;PLAZA DE MAYO;A
-58,46237841;-34,55564177;71;CONGRESO DE TUCUMAN;D
-58,36992985;-34,6029895;72;LEANDRO N. ALEM;B
-58,4662272;-34,58409462;73;TRONADOR - VILLA ORTÃšZAR;B
-58,47424083;-34,58124885;74;DE LOS INCAS -PQUE. CHAS;B
-58,4567098;-34,62666659;75;CARABOBO;A
-58,44864765;-34,62352895;76;PUAN;A
-58,40545033;-34,6044902;77;CORRIENTES;H
-58,40579483;-34,63840599;78;PARQUE PATRICIOS;H
-58,41238515;-34,64126894;79;HOSPITALES;H
-58,4810135;-34,57779738;80;ECHEVERRÃA;B
-58,48638535;-34,57431891;81;JUAN MANUEL DE ROSAS - VILLA URQUIZA;B
-58,46963963;-34,63070709;83;SAN PEDRITO;A
-58,46354051;-34,62908723;82;SAN JOSÃ‰ DE FLORES;A
-58,4037215;-34,59845511;84;CÃ“RDOBA;H
-58,39721558;-34,58746155;85;LAS HERAS;H
-58,40237618;-34,5945254;86;SANTA FE - CARLOS JAUREGUI;H
-58,39101883;-34,58303634;87;FACULTAD DE DERECHO - JULIETA LANTERI;H
-58,37584984;-34,59211436;90;RETIRO;E
-58,37170033;-34,59659682;89;CATALINAS;E
-58,3704125;-34,60301391;88;CORREO CENTRAL;E
